ROTAS;DISTANCIA;FALHAS;ACIDENTES;VELOCIDADE
R1161;2780;220;30;80
R1162;2280;270;30;100
R1163;1020;220;20;120
R1164;2310;100;40;100
R1165;3930;140;20;120
R1166;3730;150;30;80
R1167;3200;280;30;100
R1168;1840;130;30;120
R1169;3610;90;30;100
R1170;2010;70;50;120
R1171;3700;270;20;100
R1172;3710;290;10;80
R1173;1760;120;50;100
R1174;3130;130;10;100
R1175;2600;70;10;100
R1176;1000;50;50;100
R1177;1400;0;10;80
R1178;3360;110;40;100
R1179;3080;50;10;100
R1180;1140;20;40;80
R1181;3770;40;40;80
R1182;1610;90;30;100
R1183;3370;200;50;80
R1184;3960;10;50;80
R1185;3900;30;50;80
R1186;3450;180;20;80
R1187;760;180;30;80
R1188;2540;90;50;120
R1189;3100;20;10;100
R1190;2150;120;20;120
R1191;2160;300;50;80
R1192;2290;210;20;80
R1193;2310;230;10;120
R1194;1260;240;50;100
R1195;1190;90;30;120
R1196;2030;130;30;100
R1197;3970;140;30;100
R1198;1550;10;40;100
R1199;2800;140;30;80
R1200;3210;230;30;80
R1201;1930;70;10;80
R1202;540;250;40;120
R1203;3170;290;20;100
R1204;1870;130;40;80
R1205;2210;40;50;120
R1206;3100;30;10;100
R1207;2350;40;50;120
R1208;2770;300;10;100
R1209;830;140;30;100
R1210;3060;130;30;100
R1211;2130;130;50;100
R1212;2370;260;20;100
R1213;2080;170;20;120
R1214;910;180;20;100
R1215;670;160;40;120
R1216;3610;150;30;80
R1217;750;0;20;100
R1218;3870;0;10;80
R1219;3190;60;30;120
R1220;2890;0;40;120
R1221;3840;300;10;100
R1222;1660;250;30;100
R1223;3640;140;10;120
R1224;1580;290;50;120
R1225;1570;70;30;80
R1226;2890;80;50;120
R1227;3990;220;20;100
R1228;730;40;50;120
R1229;1540;160;50;100
R1230;3080;230;30;120
R1231;2530;170;40;120
R1232;510;220;20;80
R1233;1830;110;20;100
R1234;590;150;50;120
R1235;2970;70;40;80
R1236;3490;50;10;100
R1237;3860;90;40;100
R1238;3580;240;20;80
R1239;3040;170;30;100
R1240;1630;150;30;80
R1241;1340;220;50;120
R1242;550;200;20;100
R1243;3460;170;10;80
R1244;2610;60;10;100
R1245;2790;240;50;80
R1246;1270;300;30;120
R1247;2330;230;20;100
R1248;3380;250;50;80
R1249;3630;80;30;120
R1250;3920;290;30;120
R1251;1770;120;20;120
R1252;2040;200;20;100
R1253;1490;50;10;120
R1254;3810;210;40;100
R1255;1740;270;20;100
R1256;2010;20;10;100
R1257;3890;110;40;80
R1258;3990;70;10;120
R1259;2710;210;40;120
R1260;1210;20;50;120
R1261;700;120;50;100
R1262;770;100;30;80
R1263;1250;240;50;120
R1264;3820;270;40;80
R1265;3160;210;20;120
R1266;2680;190;50;100
R1267;1440;250;30;120
R1268;1100;230;30;80
R1269;3120;270;30;120
R1270;3120;240;50;100
R1271;1180;130;10;120
R1272;3130;60;50;100
R1273;3390;50;30;80
R1274;1510;290;40;80
R1275;1600;110;20;100
R1276;3310;260;40;120
R1277;790;170;40;100
R1278;1710;40;30;120
R1279;510;240;30;100
R1280;2290;40;40;120
R1281;1660;60;20;100
R1282;1520;250;10;80
R1283;2900;30;10;80
R1284;1460;230;50;120
R1285;1370;130;40;80
R1286;2790;250;30;120
R1287;780;300;50;120
R1288;1880;200;20;100
R1289;3790;70;50;120
R1290;1800;110;20;100
R1291;3820;220;30;100
R1292;570;10;10;80
R1293;2060;120;10;80
R1294;3500;300;10;80
R1295;1730;160;50;100
R1296;3250;100;30;100
R1297;1310;50;10;80
R1298;810;80;10;120
R1299;1860;270;20;120
R1300;2460;210;50;80
R1301;960;230;40;100
R1302;2660;200;50;80
R1303;3720;10;40;100
R1304;2150;260;30;100
R1305;1710;250;10;120
R1306;700;110;40;120
R1307;880;110;40;120
R1308;3360;170;30;120
R1309;2240;50;10;80
R1310;1620;160;40;100
R1311;1650;150;40;100
R1312;2550;200;50;80
R1313;3900;120;20;100
R1314;2300;230;20;120
R1315;3960;210;20;120
R1316;2140;280;20;80
R1317;1630;30;30;80
R1318;530;220;50;100
R1319;2960;210;40;120
R1320;720;180;40;80
R1321;2060;210;30;100
R1322;1170;240;20;120
R1323;3510;250;50;100
R1324;700;70;30;80
R1325;870;30;20;100
R1326;1340;80;40;100
R1327;2040;60;50;80
R1328;3810;210;30;80
R1329;750;200;40;120
R1330;3280;200;40;100
R1331;2730;160;10;80
R1332;2140;110;10;100
R1333;1660;50;30;120
R1334;3790;170;30;80
R1335;760;210;10;120
R1336;1550;50;20;100
R1337;580;0;30;100
R1338;2720;40;20;100
R1339;2480;180;20;100
R1340;2890;70;50;120
R1341;3080;30;50;120
R1342;2280;120;20;100
R1343;3270;0;10;100
R1344;3890;50;10;80
R1345;2590;120;20;120
R1346;1290;0;10;100
R1347;650;250;30;100
R1348;1120;0;50;80
R1349;1810;120;30;100
R1350;510;40;30;120
R1351;3900;60;10;80
R1352;2210;210;40;100
R1353;3870;250;20;100
R1354;3430;210;50;120
R1355;2560;130;10;120
R1356;3940;80;40;100
R1357;3510;140;40;120
R1358;1390;240;40;100
R1359;630;230;30;100
R1360;2800;240;40;100
R1361;1860;240;10;100
R1362;3130;230;50;100
R1363;730;70;50;80
R1364;3220;160;30;120
R1365;950;170;40;120
R1366;1260;270;20;100
R1367;1440;130;50;80
R1368;3170;30;30;100
R1369;1900;110;20;100
R1370;870;70;30;120
R1371;1940;130;10;120
R1372;1940;30;30;80
R1373;770;280;30;120
R1374;800;80;50;100
R1375;2840;280;20;100
R1376;1460;290;10;100
R1377;640;170;40;80
R1378;1140;180;30;120
R1379;1630;130;50;120
R1380;2450;220;50;120
R1381;950;170;30;80
R1382;1200;230;30;80
R1383;3160;10;10;100
R1384;3030;100;20;120
R1385;2740;80;40;100
R1386;3220;190;10;80
R1387;3160;240;30;100
R1388;1310;230;20;100
R1389;1870;150;10;80
R1390;1400;140;50;120
R1391;1660;200;40;120
R1392;3970;30;50;120
R1393;2180;250;30;100
R1394;1270;70;50;100
R1395;2220;140;40;120
R1396;2580;60;50;120
R1397;2880;190;30;120
R1398;1490;260;10;100
R1399;530;90;50;100
R1400;1910;20;40;100
R1401;3930;20;40;120
R1402;1960;240;30;120
R1403;2250;160;10;80
R1404;2560;240;10;80
R1405;2790;240;20;80
R1406;3800;200;20;80
R1407;2600;190;30;80
R1408;2770;170;10;80
R1409;3540;20;30;80
R1410;840;10;50;100
R1411;1620;80;40;100
R1412;1930;210;10;120
R1413;3550;210;40;120
R1414;560;0;40;100
R1415;660;230;30;120
R1416;3430;210;50;100
R1417;2430;220;10;100
R1418;1870;80;20;100
R1419;3540;240;20;120
R1420;2270;160;30;120
R1421;3720;20;10;120
R1422;1010;40;10;120
R1423;720;240;40;80
R1424;1730;270;10;80
R1425;1840;150;20;120
R1426;2790;60;50;80
R1427;3000;0;20;100
R1428;3090;90;20;80
R1429;3790;230;40;100
R1430;3880;290;40;120
R1431;2560;160;10;80
R1432;2410;70;50;100
R1433;2850;100;50;100
R1434;1030;40;10;120
R1435;2400;220;50;80
R1436;920;250;50;120
R1437;1420;80;10;120
R1438;2550;90;40;80
R1439;3380;220;10;100
R1440;3990;50;50;100
R1441;680;0;50;80
R1442;3270;160;10;120
R1443;890;240;40;80
R1444;3010;10;20;120
R1445;3370;80;30;80
R1446;4000;40;20;80
R1447;3140;40;10;80
R1448;1920;270;20;80
R1449;2510;280;20;80
R1450;1760;20;10;120
R1451;2970;40;30;80
R1452;1950;200;50;120
R1453;3910;230;10;100
R1454;3290;280;20;80
R1455;2630;80;50;80
R1456;1140;180;20;80
R1457;810;110;20;100
R1458;1910;0;40;80
R1459;3390;100;40;120
R1460;3060;220;40;80
R1461;980;30;40;120
R1462;3930;180;20;120
R1463;3130;40;30;100
R1464;910;250;40;100
R1465;3760;180;10;80
R1466;1400;30;30;120
R1467;3550;190;40;80
R1468;1260;180;30;100
R1469;2390;270;20;120
R1470;3350;60;40;100
R1471;600;10;10;120
R1472;3400;0;40;120
R1473;1000;40;10;100
R1474;2140;210;50;120
R1475;4000;160;40;120
R1476;1050;10;50;120
R1477;3260;20;30;120
R1478;3130;100;20;100
R1479;3410;100;40;100
R1480;3680;120;20;120
R1481;3680;90;30;120
R1482;2540;150;40;120
R1483;830;90;10;100
R1484;2110;180;20;80
R1485;3470;120;20;100
R1486;1470;120;50;80
R1487;2170;200;50;100
R1488;3280;270;10;80
R1489;1050;140;40;120
R1490;940;200;40;80
R1491;2650;300;30;100
R1492;4000;220;40;100
R1493;700;100;30;80
R1494;2450;190;40;100
R1495;730;160;40;80
R1496;1350;150;50;120
R1497;530;280;10;100
R1498;3340;130;10;80
R1499;2860;30;30;100
R1500;2340;120;20;120
R1501;2650;10;50;80
R1502;2610;280;30;120
R1503;3130;230;30;80
R1504;980;200;10;120
R1505;3810;30;30;100
R1506;2560;10;40;80
R1507;1000;190;10;100
R1508;1510;120;40;80
R1509;810;120;40;80
R1510;2480;20;30;100
R1511;1760;90;20;80
R1512;1470;170;30;80
R1513;3400;20;30;120
R1514;3050;140;40;100
R1515;3200;160;40;100
R1516;2130;100;40;100
R1517;2290;230;40;100
R1518;1860;240;20;120
R1519;2850;250;10;120
R1520;2780;270;50;100
R1521;2850;10;10;100
R1522;1560;100;20;100
R1523;2790;290;40;80
R1524;2750;110;20;120
R1525;1240;210;20;120
R1526;2260;10;40;120
R1527;1690;110;40;80
R1528;3960;250;10;100
R1529;1830;80;50;120
R1530;2010;80;20;100
R1531;620;150;30;100
R1532;2950;280;40;100
R1533;2870;70;20;100
R1534;1870;240;10;120
R1535;840;70;10;120
R1536;3900;130;10;100
R1537;3320;290;30;80
R1538;2410;90;50;80
R1539;1970;240;30;80
R1540;2100;30;50;120
R1541;3690;200;50;120
R1542;1490;170;20;80
R1543;2050;30;10;120
R1544;3330;110;40;80
R1545;4000;70;30;80
R1546;1900;290;20;80
R1547;3300;270;10;100
R1548;3750;40;50;100
R1549;980;130;50;100
R1550;1860;290;20;120
R1551;2840;30;40;80
R1552;2150;30;30;120
R1553;3600;50;40;80
R1554;2330;290;40;80
R1555;3820;210;20;120
R1556;1780;270;40;100
R1557;2350;190;30;120
R1558;1280;60;10;80
R1559;2570;120;50;120
R1560;1780;20;30;120
R1561;1490;300;50;80
R1562;770;80;40;80
R1563;3700;90;40;100
R1564;1700;270;40;100
R1565;3520;100;10;100
R1566;780;160;30;80
R1567;1420;150;10;120
R1568;3860;60;50;80
R1569;570;150;10;80
R1570;1390;40;30;100
R1571;2060;50;30;80
R1572;1460;30;50;100
R1573;2420;220;50;120
R1574;3140;260;20;100
R1575;3410;120;50;100
R1576;3610;80;40;80
R1577;1860;110;50;100
R1578;820;270;30;120
R1579;3770;30;40;120
R1580;820;140;10;100
R1581;3370;90;50;120
R1582;750;80;10;80
R1583;3890;30;20;80
R1584;1830;50;40;80
R1585;2590;50;10;80
R1586;800;240;30;120
R1587;1760;140;40;100
R1588;750;190;50;80
R1589;1350;70;30;80
R1590;3340;80;30;120
R1591;1000;220;40;120
R1592;3770;200;30;80
R1593;730;0;10;80
R1594;1490;90;50;120
R1595;2540;160;40;80
R1596;990;20;20;80
R1597;1220;60;30;100
R1598;1880;180;10;80
R1599;3540;220;30;100
R1600;3570;90;40;100
R1601;990;290;40;120
R1602;2890;100;30;120
R1603;3120;230;20;120
R1604;2860;20;30;120
R1605;2830;110;50;100
R1606;3510;230;20;80
R1607;3360;40;40;80
R1608;2870;150;40;100
R1609;1700;20;10;120
R1610;2770;70;20;100
R1611;1990;300;20;80
R1612;1570;230;20;80
R1613;1440;290;20;100
R1614;3110;60;20;80
R1615;1570;300;50;100
R1616;1180;180;50;100
R1617;1290;120;20;100
R1618;1270;20;30;120
R1619;2280;10;40;100
R1620;3610;120;10;100
R1621;1180;50;40;100
R1622;810;100;50;80
R1623;3430;240;40;120
R1624;3380;210;10;80
R1625;1430;110;20;100
R1626;1480;30;20;120
R1627;2550;290;30;80
R1628;2110;200;30;100
R1629;2130;30;30;120
R1630;3920;260;40;80
R1631;3230;40;40;120
R1632;3260;180;20;80
R1633;2530;260;40;80
R1634;2220;240;20;120
R1635;2680;50;50;120
R1636;1720;260;30;100
R1637;1670;150;50;100
R1638;2740;180;10;80
R1639;3780;60;50;100
R1640;600;150;30;80
R1641;1930;90;40;120
R1642;2110;300;20;120
R1643;2930;10;50;80
R1644;1180;60;50;100
R1645;3860;240;40;80
R1646;1140;40;10;80
R1647;2770;250;20;100
R1648;3740;210;40;120
R1649;2730;300;50;100
R1650;3520;170;30;120
R1651;3810;170;40;100
R1652;2660;80;30;80
R1653;1370;130;50;120
R1654;1080;180;50;120
R1655;3660;50;30;80
R1656;570;270;20;100
R1657;3780;30;10;80
R1658;3600;20;40;120
R1659;2360;110;50;100
R1660;1060;190;30;120
R1661;2980;10;40;80
R1662;2510;250;30;100
R1663;2680;300;50;80
R1664;3500;60;20;80
R1665;3050;80;50;120
R1666;2520;90;20;120
R1667;820;250;50;100
R1668;2690;140;40;100
R1669;930;260;30;80
R1670;2080;110;30;120
R1671;3170;80;20;120
R1672;1620;200;50;100
R1673;3200;60;20;100
R1674;2670;150;10;80
R1675;3630;290;30;80
R1676;1060;190;50;80
R1677;3310;150;10;120
R1678;2660;10;10;100
R1679;1770;270;50;100
R1680;2020;270;20;80
R1681;1970;110;30;100
R1682;3670;210;10;120
R1683;2430;20;50;120
R1684;970;50;50;120
R1685;800;210;20;100
R1686;1230;40;20;100
R1687;3020;210;50;120
R1688;2700;60;10;80
R1689;2770;250;40;120
R1690;3730;90;20;120
R1691;840;170;30;100
R1692;1070;130;20;120
R1693;1290;80;20;120
R1694;1330;230;10;120
R1695;2210;60;40;100
R1696;3320;200;40;100
R1697;810;150;10;80
R1698;1980;40;50;120
R1699;3930;210;10;100
R1700;1410;200;10;120
R1701;990;110;30;100
R1702;3300;260;30;120
R1703;3960;270;50;80
R1704;1950;270;10;80
R1705;3330;80;30;120
R1706;3630;170;10;80
R1707;1290;140;50;120
R1708;3650;300;10;120
R1709;1820;260;10;120
R1710;3750;250;30;120
R1711;2380;260;50;100
R1712;760;10;50;120
R1713;3880;220;50;80
R1714;3800;60;40;100
R1715;500;100;30;120
R1716;3550;50;20;120
R1717;2370;290;50;120
R1718;2440;250;20;80
R1719;3640;230;10;80
R1720;1990;240;30;120
R1721;1750;10;40;80
R1722;1790;220;20;80
R1723;2790;150;30;100
R1724;3820;130;10;80
R1725;3240;300;20;80
R1726;580;0;50;120
R1727;1430;140;30;80
R1728;1100;110;20;100
R1729;2300;110;10;120
R1730;1240;230;50;120
R1731;3930;140;20;80
R1732;1430;260;30;120
R1733;2820;170;50;80
R1734;620;40;30;100
R1735;2340;140;20;100
R1736;2100;110;10;100
R1737;1320;150;50;120
R1738;1280;0;10;120
R1739;3530;260;50;100
R1740;1420;70;20;100
R1741;1780;170;30;120
R1742;2680;280;50;100
R1743;1410;10;20;100
R1744;3380;300;10;80
R1745;1140;180;10;80
R1746;1920;70;20;100
R1747;730;230;50;80
R1748;1300;200;40;120
R1749;2600;290;50;120
R1750;3360;130;10;100
R1751;2360;280;40;100
R1752;890;100;50;120
R1753;1260;80;40;80
R1754;3540;160;20;100
R1755;620;40;20;120
R1756;3190;120;40;120
R1757;3410;40;30;80
R1758;3140;270;50;100
R1759;2000;40;10;80
R1760;3850;110;10;80
R1761;2330;220;40;120
R1762;2620;10;30;100
R1763;3690;210;40;100
R1764;2530;130;50;100
R1765;3280;20;20;120
R1766;2940;0;20;100
R1767;2880;130;20;80
R1768;3720;10;10;120
R1769;3850;220;30;100
R1770;1830;130;20;100
R1771;2410;110;40;80
R1772;1520;200;10;120
R1773;860;90;10;100
R1774;3890;180;10;100
R1775;3730;290;50;100
R1776;1000;60;30;80
R1777;3520;60;20;120
R1778;3710;300;20;100
R1779;2440;180;50;100
R1780;2020;0;10;80
R1781;2650;20;50;100
R1782;980;10;30;100
R1783;2560;260;50;120
R1784;1560;110;30;80
R1785;970;150;20;100
R1786;3750;190;30;80
R1787;2500;240;10;100
R1788;3980;190;10;120
R1789;1100;40;10;80
R1790;2950;30;20;100
R1791;760;220;30;120
R1792;1860;10;10;120
R1793;760;110;30;100
R1794;2160;200;30;80
R1795;3330;70;50;120
R1796;3300;0;20;120
R1797;2230;150;40;80
R1798;1130;160;40;100
R1799;1060;240;40;120
R1800;3770;150;30;100
R1801;1410;120;50;100
R1802;3790;130;50;80
R1803;2760;160;20;120
R1804;960;50;30;100
R1805;2620;210;10;80
R1806;2230;140;40;120
R1807;1430;140;10;80
R1808;3640;10;10;100
R1809;2170;30;30;100
R1810;2060;180;20;120
R1811;3990;120;40;80
R1812;3830;40;20;120
R1813;3730;110;40;100
R1814;1460;200;50;100
R1815;1400;160;40;120
R1816;3150;210;10;100
R1817;2010;230;40;120
R1818;3120;260;30;80
R1819;870;270;50;100
R1820;1570;70;30;100
R1821;590;130;30;80
R1822;3870;130;30;120
R1823;2700;80;30;100
R1824;3610;180;30;120
R1825;1250;120;10;120
R1826;3850;20;30;120
R1827;3430;120;10;80
R1828;3530;20;50;120
R1829;2750;300;10;80
R1830;1110;120;40;120
R1831;2340;110;30;120
R1832;2970;210;40;120
R1833;3440;110;20;100
R1834;950;60;40;120
R1835;1920;140;10;100
R1836;1870;260;10;100
R1837;710;270;30;120
R1838;2530;110;50;80
R1839;1590;20;40;80
R1840;1110;210;40;120
R1841;3520;150;20;80
R1842;630;10;10;80
R1843;560;30;10;120
R1844;1800;240;10;100
R1845;940;150;30;80
R1846;3500;250;20;120
R1847;620;130;40;80
R1848;1490;290;20;80
R1849;640;0;50;120
R1850;1350;240;30;80
R1851;2320;150;20;80
R1852;620;150;20;100
R1853;3950;290;50;80
R1854;1820;50;40;120
R1855;1370;90;40;120
R1856;3370;50;30;80
R1857;1000;80;20;80
R1858;900;170;40;100
R1859;540;0;50;100
R1860;1600;10;30;120
R1861;1830;140;50;100
R1862;3530;270;30;80
R1863;1820;200;30;100
R1864;1460;10;40;80
R1865;3880;290;30;80
R1866;680;120;50;120
R1867;1550;40;20;120
R1868;1920;60;10;120
R1869;2850;200;50;80
R1870;570;40;50;120
R1871;1870;0;20;120
R1872;3360;0;40;100
R1873;2060;60;30;80
R1874;3760;30;10;80
R1875;1560;10;40;100
R1876;3270;110;30;80
R1877;3670;40;10;100
R1878;910;70;40;120
R1879;2860;230;20;100
R1880;3410;30;10;100
R1881;1880;270;20;120
R1882;840;30;40;80
R1883;2670;10;20;120
R1884;3490;230;20;100
R1885;2410;180;20;80
R1886;520;60;30;120
R1887;1940;10;30;100
R1888;2190;300;50;100
R1889;3040;70;50;100
R1890;2750;270;30;120
R1891;2940;200;20;120
R1892;1820;260;30;100
R1893;3660;200;40;100
R1894;3800;150;20;80
R1895;2680;280;50;120
R1896;1900;100;30;80
R1897;1900;250;40;80
R1898;710;60;40;100
R1899;1250;120;10;80
R1900;1900;300;30;100
R1901;2410;290;30;80
R1902;2400;130;50;120
R1903;3250;90;10;80
R1904;1700;10;40;80
R1905;3780;100;10;100
R1906;2970;200;50;80
R1907;3640;160;30;120
R1908;2380;170;50;80
R1909;1580;20;50;80
R1910;3280;140;20;100
R1911;990;0;20;100
R1912;3470;40;30;120
R1913;890;130;50;80
R1914;1410;60;30;100
R1915;2440;20;20;100
R1916;1580;190;40;100
R1917;3510;170;30;80
R1918;3820;130;20;120
R1919;2850;100;40;120
R1920;850;260;20;120
R1921;1090;300;10;120
R1922;3630;30;50;120
R1923;3810;70;40;80
R1924;3120;210;20;80
R1925;1580;50;50;120
R1926;630;90;50;120
R1927;610;240;10;120
R1928;2790;30;50;80
R1929;1710;150;50;80
R1930;2360;230;30;120
R1931;3840;140;30;100
R1932;1030;20;20;100
R1933;3300;190;10;100
R1934;3650;30;20;120
R1935;3220;160;40;120
R1936;2710;10;40;80
R1937;1470;300;20;100
R1938;770;0;50;100
R1939;860;80;20;120
R1940;1160;130;40;100
R1941;3490;250;30;120
R1942;560;200;20;80
R1943;550;260;40;120
R1944;2860;60;20;100
R1945;2720;110;20;100
R1946;3950;210;30;100
R1947;3270;210;30;80
R1948;3480;50;20;80
R1949;3360;120;50;100
R1950;2560;250;50;120
R1951;3710;10;10;100
R1952;2210;0;50;120
R1953;2870;20;20;100
R1954;2660;260;40;100
R1955;1530;230;10;120
R1956;3600;230;10;100
R1957;1560;300;40;100
R1958;1300;130;30;80
R1959;3540;300;10;80
R1960;1070;110;10;80
R1961;860;90;40;80
R1962;1280;130;50;120
R1963;550;240;30;120
R1964;1990;110;50;100
R1965;640;110;20;100
R1966;730;270;30;120
R1967;1580;110;10;100
R1968;3680;160;50;120
R1969;3110;200;40;120
R1970;1480;0;50;120
R1971;2920;20;30;120
R1972;1360;150;30;120
R1973;3320;70;40;120
R1974;3470;50;10;80
R1975;910;270;10;120
R1976;960;90;40;120
R1977;750;120;40;80
R1978;3980;50;40;80
R1979;3300;300;40;120
R1980;3960;10;50;100
R1981;2410;290;30;120
R1982;2700;280;50;120
R1983;3160;220;10;80
R1984;3930;150;20;100
R1985;2780;100;20;80
R1986;1270;60;10;100
R1987;1740;240;40;80
R1988;910;20;40;120
R1989;1920;20;50;80
R1990;3740;210;10;120
R1991;2230;130;40;120
R1992;2240;140;40;100
R1993;1490;60;10;100
R1994;1360;300;30;120
R1995;3570;0;30;100
R1996;2400;260;50;120
R1997;2020;230;20;120
R1998;3080;40;10;120
R1999;2480;220;30;80
R2000;3810;80;20;80
R2001;2330;70;20;120
R2002;2160;90;20;100
R2003;2050;70;40;100
R2004;3390;130;50;80
R2005;2240;300;10;120
R2006;2700;110;50;120
R2007;2680;100;10;120
R2008;2260;120;50;120
R2009;3960;170;20;100
R2010;2860;180;30;100
R2011;1450;190;10;120
R2012;2740;190;10;100
R2013;1220;120;20;100
R2014;2550;140;40;80
R2015;1690;140;50;100
R2016;3480;30;20;80
R2017;1570;150;10;80
R2018;2650;170;50;100
R2019;680;100;40;100
R2020;3130;0;10;120
R2021;2310;250;50;120
R2022;3680;220;20;100
R2023;1060;240;50;120
R2024;3400;230;20;100
R2025;1870;300;50;120
R2026;2330;90;30;120
R2027;3100;230;30;120
R2028;1260;10;30;100
R2029;2590;110;40;80
R2030;1330;180;30;80
R2031;3010;110;40;120
R2032;1000;150;50;100
R2033;3600;70;40;100
R2034;3710;90;50;100
R2035;1930;230;20;100
R2036;1560;60;20;80
R2037;530;260;40;100
R2038;2770;190;50;100
R2039;1180;260;50;100
R2040;510;190;30;120
R2041;2710;150;30;100
R2042;2910;150;40;100
R2043;2050;50;50;80
R2044;1520;150;20;80
R2045;610;110;10;80
R2046;2450;250;40;100
R2047;1510;160;50;100
R2048;2810;300;30;80
R2049;2290;110;10;120
R2050;2000;40;30;80
R2051;1380;70;40;100
R2052;2140;170;20;100
R2053;1630;60;30;100
R2054;1760;220;40;120
R2055;2090;80;50;100
R2056;1950;50;40;120
R2057;1080;160;40;100
R2058;3950;200;10;120
R2059;1280;10;30;120
R2060;2110;110;20;120
R2061;2870;120;50;100
R2062;1780;230;20;80
R2063;590;160;50;80
R2064;3110;100;40;80
R2065;3640;120;20;100
R2066;1420;210;50;80
R2067;1570;20;20;80
R2068;3950;300;20;120
R2069;4000;80;40;100
R2070;1880;70;40;120
R2071;1650;130;10;80
R2072;1150;250;50;80
R2073;550;250;40;120
R2074;1110;260;30;100
R2075;1180;130;40;80
R2076;2500;240;50;120
R2077;3160;180;20;100
R2078;2370;50;30;100
R2079;2280;250;30;80
R2080;2400;30;30;100
R2081;1320;290;10;120
R2082;2100;140;40;120
R2083;2520;120;20;80
R2084;1940;70;30;120
R2085;2150;160;10;100
R2086;2400;200;40;100
R2087;2220;200;20;120
R2088;4000;100;40;100
R2089;1940;0;40;80
R2090;1640;70;50;80
R2091;1630;140;50;80
R2092;1760;190;40;80
R2093;1140;210;30;100
R2094;2800;120;10;80
R2095;3210;40;50;100
R2096;2990;220;20;100
R2097;830;0;40;100
R2098;3800;290;40;80
R2099;1980;240;20;100
R2100;1980;180;30;80
R2101;3680;270;10;120
R2102;1820;0;20;100
R2103;3420;60;20;80
R2104;2670;120;30;120
R2105;2690;230;10;100
R2106;3650;230;20;100
R2107;2030;100;40;80
R2108;1400;190;30;120
R2109;2800;0;30;80
R2110;2380;240;10;100
R2111;830;120;20;120
R2112;3490;90;20;80
R2113;710;210;50;80
R2114;2130;220;40;100
R2115;2420;20;10;100
R2116;2370;70;30;120
R2117;2410;60;20;80
R2118;520;10;20;80
R2119;2100;50;10;100
R2120;1110;300;30;120
R2121;690;160;10;100
R2122;3100;270;30;100
R2123;1690;60;50;80
R2124;920;180;20;80
R2125;1590;240;10;120
R2126;1510;20;30;120
R2127;3730;270;40;120
R2128;580;200;30;120
R2129;3550;70;50;100
R2130;570;120;20;100
R2131;3500;250;10;100
R2132;1980;40;50;100
R2133;3590;150;20;100
R2134;2260;140;30;80
R2135;1820;100;30;120
R2136;750;10;50;120
R2137;2500;300;10;100
R2138;2730;240;20;100
R2139;560;100;10;100
R2140;3910;0;40;120
R2141;610;40;30;100
R2142;2160;180;20;120
R2143;870;230;30;80
R2144;2920;200;30;80
R2145;2060;100;50;80
R2146;2990;250;20;100
R2147;3070;160;50;120
R2148;2480;60;50;80
R2149;3770;10;30;100
R2150;1090;150;40;100
R2151;1850;30;50;120
R2152;2690;300;20;100
R2153;3120;260;30;100
R2154;2570;10;40;100
R2155;1360;0;50;100
R2156;1140;220;30;100
R2157;1860;100;20;80
R2158;2020;10;40;100
R2159;2660;220;30;80
R2160;590;150;20;100
R2161;3250;170;10;80
R2162;3290;90;30;100
R2163;3770;200;20;100
R2164;3560;90;20;120
R2165;3990;240;40;80
R2166;2080;120;50;100
R2167;2960;140;10;80
R2168;1940;40;40;120
R2169;790;210;40;100
R2170;1020;230;10;120
R2171;2460;290;30;80
R2172;3150;110;20;80
R2173;1220;160;20;80
R2174;1870;300;20;100
R2175;3020;230;50;120
R2176;3250;30;20;80
R2177;3070;270;40;100
R2178;3220;110;20;120
R2179;690;270;50;120
R2180;2770;110;30;120
R2181;3140;260;10;100
R2182;2220;260;50;80
R2183;1750;10;20;120
R2184;1330;100;30;100
R2185;3210;50;30;120
R2186;2540;230;10;120
R2187;2290;260;50;120
R2188;3200;140;10;80
R2189;2280;120;40;80
R2190;2290;70;10;120
R2191;1160;70;20;100
R2192;3140;20;10;80
R2193;2310;220;20;120
R2194;1700;300;30;80
R2195;3970;30;20;80
R2196;3260;60;10;80
R2197;1460;230;40;100
R2198;2200;240;50;100
R2199;2440;110;40;80
R2200;550;80;20;120
R2201;3020;290;30;80
R2202;3810;190;10;100
R2203;3640;110;20;100
R2204;2980;10;40;120
R2205;3110;160;40;120
R2206;1990;220;50;100
R2207;2050;190;50;100
R2208;2570;130;10;120
R2209;2970;30;50;80
R2210;2800;280;50;120
R2211;3100;210;30;80
R2212;1010;280;40;120
R2213;1260;110;20;120
R2214;540;300;20;120
R2215;3140;190;10;120
R2216;3980;40;40;80
R2217;2380;30;30;80
R2218;1350;140;20;80
R2219;3400;120;10;80
R2220;3310;20;30;80
R2221;590;180;20;80
R2222;1270;120;40;100
R2223;2770;80;30;80
R2224;900;290;50;100
R2225;1280;190;50;100
R2226;2040;10;50;80
R2227;2150;100;50;100
R2228;1540;160;30;80
R2229;1740;30;20;120
R2230;730;50;30;80
R2231;1320;300;30;120
R2232;3470;210;10;80
R2233;2670;20;50;100
R2234;2870;60;50;80
R2235;3990;120;20;80
R2236;3810;0;50;80
R2237;2370;30;10;120
R2238;980;40;30;100
R2239;2140;160;10;120
R2240;1420;60;20;80
R2241;2560;180;30;100
R2242;1660;210;40;100
R2243;1360;280;40;80
R2244;3060;220;50;120
R2245;2220;90;40;80
R2246;3790;190;10;120
